driver_id,applicant_fountain_id,pu_ca,predicted_driver_ca,no_packages
388596,2433de56-4cc9-41c4-ac30-53c80d205af7,Manchester City,,3308
362747,e7ab9830-67d4-4437-98cd-a84e6eb9bd3d,Southampton,,4692
370635,20116a7a-8250-4ee9-8464-705c07190b1f,Wolverhampton,Wolverhampton,3819
403125,8776e239-d9e5-4f2e-b775-fcdba9936ee3,London Border N,London Border N,1148
398969,83f162cd-64ce-4d60-9781-b2fecd0915e4,Altrincham,,66
393099,d4a2a35b-f288-4c48-a6d5-818e556cddec,Manchester City,Manchester City,429
377495,9f117cb9-6e5e-4a9c-b656-5a89157f136e,London Inner W,,1134
398112,68a7514f-1001-4050-995c-57ddb66e944e,London Outer NE,,1629
385365,859e8f2a-7ac0-45e3-a48f-98ae3618c397,Sunderland,,1101
402333,4c7e344b-1acb-4c01-b4e1-b8ec2bdde6c6,Manchester City,,1508
373683,a1c33b8c-7901-4981-a47f-1bc39f2f7dde,London Inner N,London Border N,583
348249,4bdc7755-1455-44e2-af54-664856695e33,London Outer Upper NW,,1881
358219,b800691e-d71f-42a9-8a00-d384e60021f5,London Outer S,,149
390211,987d4a87-b7b3-4c3e-98c3-d6dba06e398c,London Inner N,,584
371258,12a016cc-0489-406c-96ef-bd6bfd06152c,Gateshead,,796
403523,1e25fdf9-5961-4236-8d93-cf67a6261ff8,Outer Leeds,,646
396888,961c2539-eab6-4bbf-9eba-5db7d5e5cab0,Plymouth,Plymouth,3151
398179,c92e40da-5621-4fe8-a68c-9fb8a4c355fe,London Outer Upper NW,,2232
364544,61369e11-ed0d-44f7-8ed4-37e2eba3d362,London Outer NE,,1670
370688,b21719bc-c5b5-4e24-96c6-4b570f852152,London Inner S,,2207
358188,d1faf678-f65e-4f6a-aa6d-41f897fccf56,Liverpool Wirral,,1660
374340,c9baf028-ba13-4e96-bc1e-7f9afbbc2d45,London Outer NE,,1668
345861,cad6602a-a029-455f-a5ea-fca5b943c6d6,Newcastle,,775
469612,045061af-ede1-4aa7-9d01-881776cd7f67,London Inner E,London Outer S,290
459310,2d6214a3-6edd-49df-a025-be904ba4c77c,Leeds South,,22
470297,82fbb0ae-d3de-4b60-933b-6706ef081215,London Inner Lower NW,London Outer SW,5
454014,9b1ec0af-3c34-4fe8-aea6-67cb3919ac8f,London Inner N,London Outer NE,382
401186,9ce082f7-2864-4dbc-8852-56db70c335cb,Blackpool North,,410
410595,da1a947f-46ce-4358-aa4d-1b3733639317,London Outer N,,886
465702,9d0470d5-be9a-4dc0-b39f-bf511bebf6e6,Plymouth,Plymouth,124
429023,5fd0ebf8-417e-4b56-b4ff-0fdb060e03b0,Hull,,1292
416343,af0a3d03-c7a6-4f40-8b94-348579b65b0c,Walsall,Dudley & West Bromwich,948
408361,6fd1a2da-01b2-4acc-af7c-f8dd3bbbe324,London Inner Lower NW,,1834
378255,e08da13a-6a6d-45bc-ad8b-db5cf7ee8586,Milton Keynes,,477
346853,9420136c-8fbf-4e52-b627-b63621e45712,London Outer Upper NW,,59
473535,deb531e0-4f38-4908-813d-1044157c68a5,London Outer S,London Outer E,20
413195,b5ab7338-d445-4b59-85ad-8c5555329c19,London Inner Upper NW,,318
426897,8e45e709-9847-4aed-adbe-4e0808bce6a4,Newcastle,,600
